	restaurantName	address	city	postalCode	country	priceRange	cuisineType	description	facilitiesServices	creditCards	phoneNumber	website	cleaned_description
310	Maso Burba	via Bernardelli 32	località Piano	Commezzadura	38020	€€	Country cooking, Alpine	Having spent time working in top-quality restaurants, Gianpaolo Burba – alongside his partner Paola who works front of house – has returned home to the family restaurant in a small village in the Val di Sole region. Here, he makes the most of his experience and skills acquired elsewhere to showcase the best of the region’s ingredients in his beautifully presented dishes (although fish does make a rare appearance on the menu). The dining rooms, including a covered veranda, are bright, elegant and typically regional in style.	['Car park']	['Mastercard', 'Visa']	+39 0463 979991		spent time work topqual restaur gianpaolo burba – alongsid partner paola work front hous – return home famili restaur small villag val di sole region make experi skill acquir elsewher showcas best region ’ ingredi beauti present dish although fish make rare appear menu dine room includ cover veranda bright eleg typic region style
311	Osteria Didù	via Felice Cascione 70	Imperia	18100	Italy	€	Seafood, Ligurian	Situated on an attractive pedestrian street lined with the historic palazzi of Porto San Maurizio, this simple yet pleasant restaurant offers an excellent choice of Ligurian specialities. Highlights include stuffed mussels and Genoese-style borage ravioli.	['Air conditioning', 'Terrace', 'Wheelchair access']	['Mastercard', 'Visa']	+39 0183 273636		situat attract pedestrian street line histor palazzi porto san maurizio simpl yet pleasant restaur offer excel choic ligurian special highlight includ stuf mussel genoesestyl borag ravioli
312	L'Uva e il Malto	via Mazzini 165	Grosseto	58100	Italy	€€	Seafood, Traditional Cuisine	A talented couple run this modern, intimate restaurant with a wine-bar right in the town centre. Fish takes pride of place on the menu, with the catch of the day announced at your table, including delicious shellfish. The female owner oversees the extensive wine list, which features reasonably priced and mostly Tuscan labels.	['Air conditioning', 'Interesting wine list']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0564 411211		talent coupl run modern intim restaur winebar right town centr fish take pride place menu catch day announc tabl includ delici shellfish femal owner overse extens wine list featur reason price mostli tuscan label
313	Viva il Bistrot	via Rocco Pirri 19	Noto	96017	Italy	€€	Sicilian, Modern Cuisine	Situated just a stone’s throw from the cathedral, this restaurant has tables set out on Noto’s attractive pedestrianised street in fine weather, although if these are all taken the contemporary-style dining rooms are just as appealing. Viviana Varese, a Michelin-starred chef from Milano, oversees the interesting menu which showcases Sicilian cuisine prepared from local ingredients alongside more exotic fare.	['Air conditioning', 'Terrace', 'Wheelchair access']	['Amex', 'Mastercard', 'Visa']	+39 334 793 3384	https://www.vivavivianavarese.it/viva-il-bistrot/	situat stone ’ throw cathedr restaur tabl set noto ’ attract pedestrianis street fine weather although taken contemporarystyl dine room appeal viviana vares michelinstar chef milano overse interest menu showcas sicilian cuisin prepar local ingredi alongsid exot fare
314	Taverna La Cialoma	piazza Regina Margherita 23	Marzamemi	96018	Italy	€€	Seafood, Traditional Cuisine	This restaurant housed in Marzamemi’s old tuna fishery boasts an outdoor terrace with tables overlooking one of the most picturesque squares in Sicily, as well as an indoor dining room and another terrace to the rear facing the sea. Wherever you choose to sit, you’ll find authentic Sicilian cuisine on the menu, with just a few simply prepared dishes in which the full flavours of fresh fish shine through.	['Air conditioning', 'Great view', 'Terrace']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0931 841772	http://www.tavernalacialoma.it	restaur hous marzamemi ’ old tuna fisheri boast outdoor terrac tabl overlook one picturesqu squar sicili well indoor dine room anoth terrac rear face sea wherev choos sit ’ find authent sicilian cuisin menu simpli prepar dish full flavour fresh fish shine
315	I Due Buoi	via Vittorio Veneto 23	Olivola	15030	Italy	€€	Piedmontese, Modern Cuisine	This restaurant offers three tasting menus: Stile Libero, Tradizione e Territorio, and Quinto Quarto , the latter featuring various types of offal which the chef transforms into creative dishes, plus an à la carte that includes local specialities and a good choice of bread. Top-quality wines with a focus on Asti and its surrounding area, as well as on the Langhe region.	['Car park']	['Maestrocard', 'Mastercard', 'Visa']	+39 366 254 9251	https://www.iduebuoi.it	restaur offer three tast menu stile libero tradizion e territorio quinto quarto latter featur variou type offal chef transform creativ dish plu à la cart includ local special good choic bread topqual wine focu asti surround area well langh region
316	Li Lioni	SS 131 km 244	400 - regione Li Lioni	Porto Torres	07046	€€	Sardinian, Home Cooking	The highlights of this restaurant just outside the tourist centre of Porto Torres are its informal atmosphere, spacious garden and traditional cuisine. The frattaubread is well worth sampling (also available in a vegan version), as is the legendary porceddu(suckling pig), which must be ordered when you book. When choosing wine, we recommend the well-structured and intense house red.	['Air conditioning', 'Car park', 'Garden or park', 'Terrace']	['Unionpay', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']	+39 079 502286	https://www.tenutalilioni.it/	highlight restaur outsid tourist centr porto torr inform atmospher spaciou garden tradit cuisin frattaubread well worth sampl also avail vegan version legendari porceddusuckl pig must order book choos wine recommend wellstructur intens hous red
317	Le Baccanti	via Puccini 5	Nola	80035	Italy	€€	Campanian, Classic Cuisine	Simple premises with two large windows overlooking its kitchens. It serves imaginative dishes where tradition and creativity become one. Informal service.	['Air conditioning', 'Interesting wine list', 'Terrace']	['Amex', 'Unionpay', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']	+39 081 512 2117		simpl premis two larg window overlook kitchen serv imagin dish tradit creativ becom one inform servic
318	Le Rune	salita inferiore Sant'Anna 13r	Genoa	16125	Italy	€€	Ligurian, Seafood	Various small dining rooms, including one directly above the kitchen, create a simple yet welcoming ambience at this restaurant. The food is regional and seasonal, with a focus on fish and seafood. Specialities include “brandacujun” stockfish; burrata panna cotta with baby spinach, porcini mushrooms and toasted pine nuts; squid stuffed with prawns and courgettes in an aioli sauce; and corn linguine with fresh tuna, red onions and olives on a pepper sauce.	['Terrace']	['Maestrocard', 'Mastercard', 'Visa']	+39 010 594951	https://www.ristorantelerune.it/	variou small dine room includ one directli kitchen creat simpl yet welcom ambienc restaur food region season focu fish seafood special includ “ brandacujun ” stockfish burrata panna cotta babi spinach porcini mushroom toast pine nut squid stuf prawn courgett aioli sauc corn linguin fresh tuna red onion oliv pepper sauc
319	La Sosta di Ottone III	Località Chiesanuova 39	Levanto	19015	Italy	€€€	Ligurian	Ask for directions to this restaurant when you make your booking, as you’ll need to leave your vehicle in a private car park at the entrance to the village and then make your way uphill on foot. Situated in one of Liguria’s most typical and picturesque inland villages with views of the sea in the distance, the restaurant offers outdoor dining under a wisteria in fine weather. The menu features a small choice of regional dishes, with the same focus on Liguria evident on the wine list.	['Air conditioning', 'Car park', 'Garden or park', 'Great view', 'Interesting wine list', 'Terrace']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 351 886 0251	https://www.lasosta.com/it/	ask direct restaur make book ’ need leav vehicl privat car park entranc villag make way uphil foot situat one liguria ’ typic picturesqu inland villag view sea distanc restaur offer outdoor dine wisteria fine weather menu featur small choic region dish focu liguria evid wine list
320	Le Colonne	via Benefattori 7	Santa Maria Maggiore	28857	Italy	€€	Country cooking, Traditional Cuisine	In the small historic center of town, a couple with comprehensive management experience operates this well maintained, modest restaurant offering eclectic cuisine.	[]	['Mastercard', 'Visa']	+39 0324 94893	https://www.ristorantelecolonne.it	small histor center town coupl comprehens manag experi oper well maintain modest restaur offer eclect cuisin
321	Blaue Traube	strada Vecchia 44	Algund	39022	Italy	€€€€	Modern Cuisine, South Tyrolean	This extremely old restaurant (its name is said to have existed as early as the mid 17C) has been given a new lease of life in 2019 by its young chef Christoph Huber, who puts to good use the many experiences gained over the years in different restaurants, including Michelin-starred addresses. His dishes pay tribute to Southern Tyrolean recipes and ingredients with an added contemporary twist.	['Terrace']	['Mastercard', 'Visa']	+39 0473 447103	https://www.blauetraube.it/it/	extrem old restaur name said exist earli mid 17c given new leas life 2019 young chef christoph huber put good use mani experi gain year differ restaur includ michelinstar address dish pay tribut southern tyrolean recip ingredi ad contemporari twist
322	Bolle	via Provinciale 30	Lallio	24040	Italy	€€€	Italian Contemporary	We are in the Agnelli showroom, a well-known manufacturer of cookware for professional kitchens. The modern shop is located on the ground floor, while the first floor hosts the restaurant with its elegant tables in a refined minimalist and contemporary environment. On the menu, dishes with an impressive balance of ingredients, including occasionally exotic choices.	['Air conditioning', 'Car park', 'Wheelchair access']	['Amex', 'Mastercard', 'Visa']	+39 035 090 0208	http://www.bollerestaurant.com	agnelli showroom wellknown manufactur cookwar profession kitchen modern shop locat ground floor first floor host restaur eleg tabl refin minimalist contemporari environ menu dish impress balanc ingredi includ occasion exot choic
323	Nives	via Nives 4	Selva di Val Gardena	39048	Italy	€€	Modern Cuisine, Contemporary	Housed within the Boutique Hotel Nives, this contemporary, Alpine-style restaurant focuses on specialities from the Alto Adige (with the addition of a couple of fish dishes that nearly always feature on the menu), as well as large cuts of meat for sharing, served on a hot stone. An interesting wine list completes the picture.	['Terrace', 'Wheelchair access']	['Mastercard', 'Visa']	+39 0471 773329	https://www.restaurant-nives.com	hous within boutiqu hotel nive contemporari alpinestyl restaur focus special alto adig addit coupl fish dish nearli alway featur menu well larg cut meat share serv hot stone interest wine list complet pictur
324	Portanova	via Cesare Battisti 67	Urbino	61029	Italy	€€	Cuisine from the Marches, Italian Contemporary	A new restaurant in Urbino’s beautiful old town, where the designer-style decor blends harmoniously with the historic architecture. The modern, contemporary-style cuisine finds inspiration in ingredients from the Marche, as well as featuring flavours and traditions from other regions of Italy such as Sardinia, Campania and Lazio.	['Air conditioning', 'Counter dining']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 340 903 6715		new restaur urbino ’ beauti old town designerstyl decor blend harmoni histor architectur modern contemporarystyl cuisin find inspir ingredi march well featur flavour tradit region itali sardinia campania lazio
325	Oberlechner	località Velloi 7	Algund	39022	Italy	€€	Regional Cuisine, Classic Cuisine	From Merano you climb to an altitude of 1 000m to this restaurant, which boasts breathtaking views of the town and surrounding mountains. The menu here focuses mainly on local ingredients which are carefully prepared without too many creative twists, resulting in delicious and generous dishes such as braised beef with a Lagrein sauce (accompanied by rice and vegetables). All the attractive guestrooms have a balcony and the same stunning view.	['Car park', 'Garden or park', 'Great view', 'Terrace']	['Maestrocard', 'Mastercard', 'Visa']	+39 0473 448350	https://www.gasthofoberlechner.com	merano climb altitud 1 000m restaur boast breathtak view town surround mountain menu focus mainli local ingredi care prepar without mani creativ twist result delici gener dish brais beef lagrein sauc accompani rice veget attract guestroom balconi stun view
326	Cuoco di Bordo	lungomare Dante Alighieri 94	Senigallia	60019	Italy	€€	Seafood, Classic Cuisine	An attractively furnished restaurant on the seafront with a small dining room and a veranda offering partial views of the sea. Fish takes pride of place on the menu, which focuses on raw fish dishes and classic recipes. The wine list is excellent, especially the whites (although the reds also include some impressive options) with many different vintages of the same wine available.	['Air conditioning', 'Interesting wine list']	['Amex', 'Mastercard', 'Visa']	+39 071 792 9661	https://www.cuocodibordo.com	attract furnish restaur seafront small dine room veranda offer partial view sea fish take pride place menu focus raw fish dish classic recip wine list excel especi white although red also includ impress option mani differ vintag wine avail
327	Valli di Lanzo	via Roma 11	Céres	10070	Italy	€€	Piedmontese	The sign outside this restaurant in the centre of the typical village of Céres bears the words “Ristourànt Valàdess at Lanss con Oubèrgi”. Enjoy regional cuisine with a personalised twist, with local products from the valley featuring in many of the specialities served here, all accompanied by a good selection of regional, Italian and international wines. Outdoor dining area available in summer.	['Air conditioning', 'Terrace']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 0123 53180	https://www.ristorantevallidilanzo.eu/	sign outsid restaur centr typic villag cére bear word “ ristourànt valàdess lanss con oubèrgi ” enjoy region cuisin personalis twist local product valley featur mani special serv accompani good select region italian intern wine outdoor dine area avail summer
328	Al Bagatto	via Cadorna 7	Trieste	34124	Italy	€€€	Seafood, Modern Cuisine	A small, elegant restaurant in the city centre decorated in warm colours. Two private rooms (one very intimate, just for two people, the other slightly larger) are also available. Fish - based cuisine with a modern touch.	['Air conditioning']	['Mastercard', 'Visa']	+39 040 301771	https://www.albagatto.it/	small eleg restaur citi centr decor warm colour two privat room one intim two peopl slightli larger also avail fish base cuisin modern touch
329	Osteria Numero 2	via Ghisiolo 2/a	Stradella	46051	Italy	€	Italian, Classic Cuisine	A beautiful farmhouse not far from the town, with a friendly, welcoming and colourful feel. Here, the menu features Italian dishes alongside a few local specialities, such as agnoli pasta in broth (also available as an antipasto in a “sorbir” wine broth). Special mention goes to the superb selection of beers chosen by owner Moreno, which ranges from local craft beers to labels from across the globe – there’s even a beer-themed dessert, the Birramisù. Excellent value for money and highly popular, so booking ahead is recommended.	['Air conditioning', 'Car park', 'Garden or park', 'Restaurant offering vegetarian menus', 'Terrace', 'Wheelchair access']	['Amex', 'Mastercard', 'Visa']	+39 0376 45088	https://www.osterianumero2.it/	beauti farmhous far town friendli welcom colour feel menu featur italian dish alongsid local special agnoli pasta broth also avail antipasto “ sorbir ” wine broth special mention goe superb select beer chosen owner moreno rang local craft beer label across globe – ’ even beerthem dessert birramisù excel valu money highli popular book ahead recommend
330	Osteria Zanchetti	via Cesare Battisti 1	Fossombrone	61034	Italy	€	Country cooking, Seasonal Cuisine	Situated at the top of a steep slope in Fossombrone’s beautiful historic centre, this osteria takes guests back to the 1920s thanks to its romantic decor. Here, having risen through the culinary ranks, the owner-chef makes full use of his expert techniques to create dishes that hover between tradition and a sense of fantasy using the best seasonal ingredients that the region has to offer. The concise wine list favours micro-producers and natural wines.	['Air conditioning', 'Terrace']	['Dinersclub', 'Mastercard', 'Visa']	+39 0721 186 2688	http://www.osteriazanchetti.it	situat top steep slope fossombron ’ beauti histor centr osteria take guest back 1920 thank romant decor risen culinari rank ownerchef make full use expert techniqu creat dish hover tradit sens fantasi use best season ingredi region offer concis wine list favour microproduc natur wine
331	Uliassi	banchina di Levante 6	Senigallia	60019	Italy	€€€€	Creative, Seafood	The Adriatic Riviera, a perfect picture-postcard summer holiday destination, is the setting for this fine restaurant run by chef Mauro Uliassi. Hidden among the private beach clubs that crowd Senigallia’s seafront, this three-Michelin-star restaurant comes as a surprise, surrounded as it is by beach parasols and the sound of the sea lapping on the shore. The strength and originality of Uliassi’s cuisine lies in his ability to make good use of local ingredients, taking inspiration from the culinary traditions that have been so familiar and successful along this coastline over the past few decades and giving them a personal, creative twist. Fish and seafood obviously take pride of place, although there’s also room on the menu for meat, inspired by the Marche’s traditional game dishes – the delicious skewered pigeon is cooked to perfection! The colourful dining experience here is enhanced by the owner’s warm welcome, with Mauro’s sister Catia and his son Filippo working alongside the chef. It’s also worth mentioning that the restaurant has a keen focus on the environment, hence its banning of the use of plastic and doing its utmost to persuade its fish suppliers not to use polystyrene to transport their fish.	['Air conditioning', 'Great view', 'Interesting wine list', 'Terrace']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 071 65463	http://www.uliassi.com	adriat riviera perfect picturepostcard summer holiday destin set fine restaur run chef mauro uliassi hidden among privat beach club crowd senigallia ’ seafront threemichelinstar restaur come surpris surround beach parasol sound sea lap shore strength origin uliassi ’ cuisin lie abil make good use local ingredi take inspir culinari tradit familiar success along coastlin past decad give person creativ twist fish seafood obvious take pride place although ’ also room menu meat inspir march ’ tradit game dish – delici skewer pigeon cook perfect colour dine experi enhanc owner ’ warm welcom mauro ’ sister catia son filippo work alongsid chef ’ also worth mention restaur keen focu environ henc ban use plastic utmost persuad fish supplier use polystyren transport fish
332	Contrasto	via Roma 55	Cercemaggiore	86012	Italy	€€	Modern Cuisine, Creative	Having returned to his native village, owner-chef Lucio Testa has opened this restaurant in a former sheepfold on the outskirts of the village perched at an altitude of 937m. The restaurant boasts a perfectly preserved stone façade, various small rooms arranged on different levels, exposed beams and contemporary-style lamps which give the dining room a modern feel. The creative cuisine features reinterpretations of traditional recipes from the Molise, which combine local and seasonal ingredients (including produce from the restaurant’s own kitchen garden) with culinary techniques such as sauces, seasonings and emulsions acquired by the chef from his time working in France. Moulard duck is a favourite ingredient, while various tasting menus and an à la carte showcase the region.	['Air conditioning', 'Terrace']	['Mastercard', 'Visa']	+39 0874 799230		return nativ villag ownerchef lucio testa open restaur former sheepfold outskirt villag perch altitud 937m restaur boast perfectli preserv stone façad variou small room arrang differ level expos beam contemporarystyl lamp give dine room modern feel creativ cuisin featur reinterpret tradit recip molis combin local season ingredi includ produc restaur ’ kitchen garden culinari techniqu sauc season emuls acquir chef time work franc moulard duck favourit ingredi variou tast menu à la cart showcas region
333	Osteria La Solita Zuppa	via Porsenna 21	Chiusi	53043	Italy	€	Tuscan, Traditional Cuisine	Situated in Chiusi’s historic centre, this restaurant has the feel of a typical Tuscan trattoria with its traditional vaulted ceiling. The chef’s love for regional cuisine is demonstrated by the revival of traditional recipes (including the use of a wood-fired oven), resulting in the full flavours that are so characteristic of this region.	['Air conditioning', 'Interesting wine list', 'Terrace']	['Amex', 'Mastercard', 'Visa']	+39 0578 21006	http://www.lasolitazuppa.it	situat chiusi ’ histor centr restaur feel typic tuscan trattoria tradit vault ceil chef ’ love region cuisin demonstr reviv tradit recip includ use woodfir oven result full flavour characterist region
334	Ratanà	via G. de Castillia 28	Milan	20124	Italy	€€	Italian, Classic Cuisine	This lively, dynamic restaurant is in a converted building that once housed a cinema and later belonged to the railways. Top quality ingredients take pride of place here, while the pleasant outdoor area overlooking a small park is an added attraction.	['Air conditioning', 'Terrace']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 02 8712 8855	https://www.ratana.it/	live dynam restaur convert build hous cinema later belong railway top qualiti ingredi take pride place pleasant outdoor area overlook small park ad attract
335	Menarosti	via del Toro 12	Trieste	34125	Italy	€€	Seafood	Dating back to 1903, this historic restaurant has a warm, welcoming feel. Excellent fish and seafood prepared using top - quality ingredients, where simple preparation allows the flavours to shine through.	['Air conditioning', 'Terrace']	['Amex', 'Mastercard', 'Visa']	+39 040 661077		date back 1903 histor restaur warm welcom feel excel fish seafood prepar use top qualiti ingredi simpl prepar allow flavour shine
336	Locanda Don Serafino	via Avv. Ottaviano 13	Ragusa	97100	Italy	€€€€	Creative, Contemporary	Situated on the ring road which runs around Ibla, one of the most charming and picturesque historic districts in Sicily, this restaurant is as delightful as its surroundings. Despite being partly built into the rock, the dining room here is elegant rather than rustic and the service highly attentive, making this the perfect choice for a romantic, gourmet dinner. Vincenzo Candiano is an extraordinary chef who continues to experiment with new dishes, combining classic favourites with other more innovative recipes (still with a Sicilian influence) on his menu. There’s also a renowned wine list with some superb vertical tasting options, plus one guestroom on the premises and others within walking distance in the charming hotel of the same name.	['Air conditioning', 'Interesting wine list', 'Terrace']	['Amex', 'Mastercard', 'Visa']	+39 0932 248778	https://www.locandadonserafino.it/	situat ring road run around ibla one charm picturesqu histor district sicili restaur delight surround despit partli built rock dine room eleg rather rustic servic highli attent make perfect choic romant gourmet dinner vincenzo candiano extraordinari chef continu experi new dish combin classic favourit innov recip still sicilian influenc menu ’ also renown wine list superb vertic tast option plu one guestroom premis other within walk distanc charm hotel name
337	Futura	piazza San Giustino 7	Chieti	66100	Italy	€€	Contemporary, Italian Contemporary	Situated in the heart of the historic centre overlooking the monumental Piazza San Giustino, this restaurant has a traditional feel in keeping with its location, enhanced by typical brick walls in dining rooms arranged on two floors. In contrast, the predominantly meat-based cuisine is contemporary in style, with some interesting technical and creative twists.	['Air conditioning']	['Amex', 'Mastercard', 'Visa']	+39 327 326 3310		situat heart histor centr overlook monument piazza san giustino restaur tradit feel keep locat enhanc typic brick wall dine room arrang two floor contrast predominantli meatbas cuisin contemporari style interest technic creativ twist
338	Saur	via Filippo Turati 8	Barco	25034	Italy	€€	Italian Contemporary	In a tiny rural village, this contemporary, almost minimalist-style restaurant serves modern cuisine with an emphasis on seasonal, regional produce.	['Air conditioning', 'Terrace', 'Wheelchair access']	['Mastercard', 'Visa']	+39 030 941149		tini rural villag contemporari almost minimaliststyl restaur serv modern cuisin emphasi season region produc
339	Osteria della Chiocciola	via Fossano 1	Cuneo	12100	Italy	€	Piedmontese, Classic Cuisine	Situated in the historic centre just a stone’s throw from the elegant Via Roma, this restaurant is decorated with paintings by renowned modern artists such as Pignatelli, Andy Warhol, and Valerio Berruti. The ground floor is home to a colourful wine bar, while the first-floor restaurant serves traditional cuisine made from local ingredients with a natural focus on Piedmont. There is also a fish alternative for non-meat-eaters.	['Interesting wine list']	['Amex', 'Mastercard', 'Visa']	+39 0171 66277	https://www.osteriadellachiocciola.it/	situat histor centr stone ’ throw eleg via roma restaur decor paint renown modern artist pignatelli andi warhol valerio berruti ground floor home colour wine bar firstfloor restaur serv tradit cuisin made local ingredi natur focu piedmont also fish altern nonmeateat
340	Soho	via al Ponte Calvi 20 r	Genoa	16124	Italy	€€	Seafood, Contemporary	Situated in the heart of the historic centre just a stone’s throw from the aquarium, this designer-style restaurant has retained some of the palazzo’s historic features. Specialities here range from raw fish dishes to baby squid in a Genovese pesto sauce and slow-cooked octopus tentacles served with mashed potatoes.	['Air conditioning', 'Terrace']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 010 869 2548		situat heart histor centr stone ’ throw aquarium designerstyl restaur retain palazzo ’ histor featur special rang raw fish dish babi squid genoves pesto sauc slowcook octopu tentacl serv mash potato
341	Vecchia Sorni	piazza Assunta 40	Sorni	38015	Italy	€€	Regional Cuisine, Italian Contemporary	Situated in the northern wine-producing area of Trento, this trattoria is a real highlight, thanks to its delicious, beautifully presented cuisine which is always full of flavour. The menu includes regional dishes as well as more modern specialities (plus a few fish-based options) which can be enjoyed either in the typical dining room or out on the veranda (also open in winter) with its stunning views of the Adige valley.	['Great view', 'Restaurant offering vegetarian menus', 'Terrace', 'Wheelchair access']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0461 870541	https://www.vecchiasorni.it	situat northern wineproduc area trento trattoria real highlight thank delici beauti present cuisin alway full flavour menu includ region dish well modern special plu fishbas option enjoy either typic dine room veranda also open winter stun view adig valley
342	L'Osteria dell'Orologio	via di Torre Clementina 114	Fiumicino	00054	Italy	€€€	Seafood, Creative	Chef Marco Claroni brings style and finesse to this excellent restaurant which offers a good selection of fish dishes with an emphasis on carefully chosen local fish, including the occasional rare variety. The menu features raw dishes, classic marinated options (some with an Asian influence), cured fish and seafood and the restaurant’s own home-made bottarga (cured fish roe).	['Air conditioning', 'Terrace']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 06 650 5251	https://www.osteriadellorologio.net	chef marco claroni bring style finess excel restaur offer good select fish dish emphasi care chosen local fish includ occasion rare varieti menu featur raw dish classic marin option asian influenc cure fish seafood restaur ’ homemad bottarga cure fish roe
343	Albergaccio di Castellina	via Fiorentina 63	Castellina in Chianti	53011	Italy	€€	Tuscan, Modern Cuisine	This rustic but stylish establishment is in wood and stone. Find Tuscan cuisine that leans towards imaginative dishes, without betraying regional flavours and produce.	['Car park', 'Terrace', 'Wheelchair access']	['Amex', 'Mastercard', 'Visa']	+39 0577 741042	https://www.ristorantealbergaccio.com	rustic stylish establish wood stone find tuscan cuisin lean toward imagin dish without betray region flavour produc
344	Alpenrose	via delle Sette Chiese 1	loc. Pinzago	Brixen	39042	€€	Regional Cuisine, Classic Cuisine	Situated in a panoramic location a few kilometres outside Bressanone, this simple yet modern restaurant serves regional, classically prepared cuisine with an equally simple, contemporary feel plus a few dishes with the occasional Mediterranean influence. There are also elegant apartments available, plus a wellness space, for anyone wishing to extend their stay.	['Air conditioning', 'Car park', 'Terrace', 'Wheelchair access']	['Mastercard', 'Visa']	+39 0472 694947	https://www.alpenroses.com/it/ristorante-bressanone/	situat panoram locat kilometr outsid bressanon simpl yet modern restaur serv region classic prepar cuisin equal simpl contemporari feel plu dish occasion mediterranean influenc also eleg apart avail plu well space anyon wish extend stay
345	Scrigno del Duomo	piazza Duomo 29	Trento	38122	Italy	€€	Modern Cuisine	This restaurant boasts a stunning setting that includes Roman foundations, 15C frescoes and 19C furnishings. Choose between two types of cuisine: traditional ham, salami and regional dishes in the Wine Bar, or more sophisticated, inventive fare in the old cellar.	['Air conditioning', 'Interesting wine list', 'Terrace']	['Amex', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']	+39 0461 220030	https://www.scrignodelduomo.com/	restaur boast stun set includ roman foundat 15c fresco 19c furnish choos two type cuisin tradit ham salami region dish wine bar sophist invent fare old cellar
346	Li Jalantuùmene	piazza de Galganis 9	Monte Sant'Angelo	71037	Italy	€€€	Apulian, Modern Cuisine	This rustic restaurant is faithful to the culinary traditions of the area, with an added spirit of discovery. It is located in a charming square. Pleasant outdoor area for summertime.	['Terrace']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0884 565484	https://www.li-jalantuumene.it/	rustic restaur faith culinari tradit area ad spirit discoveri locat charm squar pleasant outdoor area summertim
347	Tilia	via Dolomiti 31/b	Toblach	39034	Italy	€€€€	Modern Cuisine, Contemporary	This glass and steel cube in the middle of the garden of the former Grand Hotel in Dobbiaco has been home to the Tilia restaurant since 2010 and is now more intimate than ever, with just five tables and seating for 12 diners (booking is highly recommended). Chef Chris Oberhammer’s menu is enticing, featuring just under 20 dishes with a modern yet regional flavour. Many of the ingredients (such as the flour and some of the meat) are sourced from the “Klaude” farm which is run by one of the chef’s childhood friends with whom he works very closely, while other more exotic fare comes from further afield, adding luxury ingredients such as caviar, truffles (in season) and prawns to the mix. Anita Mancini oversees the front of house with skill and professionalism, as well as taking care of the wine list which includes a selection of international labels.	['Air conditioning', 'Car park', 'Terrace']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 335 812 7783		glass steel cube middl garden former grand hotel dobbiaco home tilia restaur sinc 2010 intim ever five tabl seat 12 diner book highli recommend chef chri oberhamm ’ menu entic featur 20 dish modern yet region flavour mani ingredi flour meat sourc “ klaud ” farm run one chef ’ childhood friend work close exot fare come afield ad luxuri ingredi caviar truffl season prawn mix anita mancini overse front hous skill profession well take care wine list includ select intern label
348	Di Martino Sea Front Pasta Bar	piazza Municipio 1	Naples	80133	Italy	€€	Italian	Situated opposite the Maschio Angioino (Castel Nuovo) in Naples, this restaurant was opened by a pasta producer from nearby Gragnano, making it the perfect choice for pasta-lovers. Sit at a sushi-style counter watching the chefs at work and choose from a menu that is dedicated almost entirely to pasta dishes (as well as desserts), most of which are based on traditional recipes. When ordered individually, the dishes are generously portioned; however, for a more complete overview, opt for the tasting menu which includes more courses but smaller quantities.	['Air conditioning', 'Counter dining']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 081 1849 6287	https://www.pastadimartino.it/pages/sea-front-pasta-bar	situat opposit maschio angioino castel nuovo napl restaur open pasta produc nearbi gragnano make perfect choic pastalov sit sushistyl counter watch chef work choos menu dedic almost entir pasta dish well dessert base tradit recip order individu dish gener portion howev complet overview opt tast menu includ cours smaller quantiti
349	Il Molo	via Falcone Borsellino 2	San Leone	92100	Italy	€€	Sicilian, Classic Cuisine	Situated on the seafront facing the small tourist harbour of San Leone, this elegant restaurant boasts an attractive summer terrace with a relaxed ambience. Here you can savour a selection of regional fish and meat dishes prepared by the owner-chef with ingredients of the highest quality.	['Air conditioning', 'Terrace', 'Wheelchair access']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0922 412095		situat seafront face small tourist harbour san leon eleg restaur boast attract summer terrac relax ambienc savour select region fish meat dish prepar ownerchef ingredi highest qualiti
